"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","ಡಾ. ಎಂ. ವೆಂಕಟಸ್ವಾಮಿ","46","kolargoldfields0000mven","ಸಾಹಿತ್ಯ ಸುಗ್ಗಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,‌ಎಂ. ವೆಂಕಟಸ್ವಾಮಿ ಸಂಚಯ","ಕೋಲಾರ ಚಿನ್ನದ ಗಣಿಗಳು","2010"
"","S.H.MASCARENHAS","6","jeevansopnnam0000shma","KONKAN UJWAL PRAKASHAN","","JEEVAN SOPNNAM","1974"
"","ବାମାଚରଣ ମିତ୍ର,Bama Charan Mitra,Bāmā Caraṇa Mitra","2","jibana-sahitya-o-kala-1976","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଜୀବନ, ସାହିତ୍ୟ ଓ କଳା","1976"
"","ରେଖା ଦାସ,Rekha Das,Rekhā Dās","1","jiba-lagi-rogatie-1989","","ଗଳ୍ପ,Story,Odia Bibhaba","ଜୀବ ଲାଗି ରୋଗଟିଏ","1989"
"","କପିଳେଶ୍ୱର ଦାଶ,Kapileswar Das,Kapil̥eśwara Dās","1","jibana-chinta-1952","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଜୀବନ ଚିନ୍ତା","1952"
"","","6","kulagardiwali1980000unse","","","KULAGAR-DIWALI-1989",""
"","CHANDRAKANT KENI","12","kathika0000chan","KULAGAR PRAKASHAN","","KATHIKA","1993"
"","ಪಾವ್ಲು ಮೊರಾಸ್","18","konkanichallvol0000paul","Konkani institute","","ಕೊಂಕಣಿ ಚಳ್ವಳ್","2002"
"","","10","indianjournalofp0000unse","Indian National Science Academy","","Indian Journal Of Pure & Applied Mathematics Vol - 17/9, Sep-1986","1986"
"","","1","bimbfebruary20070000unse","","","BIMB FEBRUARY 2007",""
"","SARASWATI DAMODHAR NAIK","7","muktarang0000sara","SANJIV VERENKAR","","MUKTARANG","2009"
"","ବିଶ୍ୱନାଥ ସାହୁ,Biswanatha Sahu,Biśwanātha Sāhu","1","odisara-nadibandha-jojana-o-paribesa-1987","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଓଡ଼ିଶାର ନଦୀବନ୍ଧ ଯୋଜନା ଓ ପରିବେଶ","1987"
"","SHankar Bhandary","10","pavlakanakani0000shan","Asmitay Prakashan","","Pavla Kanakani",""
"","Rai Akhil Ranjan Majumdar","11","modernpharmacolo0000raia","Scientific Publication Concern","CFTRI","Modern Pharmacology And Therapeutic Guide","1929"
"","","17","hosatuDecember2012","ನವಕರ್ನಾಟಕ ಪಬ್ಲಿಕೇಷನ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಹೊಸತು ಸಂಚಯ","ಹೊಸತು ಡಿಸೆಂಬರ್ ೨೦೧೨","2012"
