"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","","1","kalki1947-07-27","","Magazine,Tamil Magazine","Kalki Magazine 1947-07-27","1947"
"","ಎ. ಪಿ. ಮಾಲತಿ","338","unset0000unse_j1q4","ಗೀತಾ ಬುಕ್ ಹೌಸ್","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾದಂಬರಿ,ಎ. ಪಿ. ಮಾಲತಿ ಸಂಚಯ","ಅಂಜನ","1986"
"","‌ಗೋಪಾಲಕೃಷ್ಣ ಅಡಿಗ","42","unset0000unse_j3q2","ಸಾಗರ ಮುದ್ರಣ","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಾಕ್ಷಿ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಾಕ್ಷಿ ಸಂಚಿಕೆ 9","1970"
"","Donald K. Tressler","18","unset0000unse_j6f3","The Avi Publishing Company, Inc.","CFTRI","Into The Freezer - - - And Out","1953"
"","","71","unset0000unse_j8q7","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಏಪ್ರಿಲ್ 1971","1971"
"","","108","unset0000unse_j9l0","ಸುಭೋಧ ಸಾಹಿತ್ಯ ಭಂಡಾರ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ರುಕ್ಮಾಂಗದ ಚರಿತ್ರೆ","1975"
"","","2","kalki1948-09-05","","Magazine,Tamil Magazine","Kalki Magazine 1948-09-05","1948"
"","","3","kalki1948-02-29","","Magazine,Tamil Magazine","Kalki Magazine 1948-02-29","1948"
"","","2","kalki1948-01-11","","Magazine,Tamil Magazine","Kalki Magazine 1948-01-11","1948"
"","","136","unset0000unse_j6v8","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಜೂನ್ 1985","1985"
"","","2","kalki1948-07-18","","Magazine,Tamil Magazine","Kalki Magazine 1948-07-18","1948"
"","","2","kalki1947-11-09","","Magazine,Tamil Magazine","Kalki Magazine 1947-11-09","1947"
"","","2","kalki1948-05-30","","Magazine,Tamil Magazine","Kalki Magazine 1948-05-30","1948"
"","Fritz Feigl","36","unset0000unse_k0n0","Elsevier Publishing Company","CFTRI","Spot Tests","1954"
"","","3","kalki1950-05-21","","Magazine,Tamil Magazine","Kalki Magazine 1950-05-21","1950"
"","","4","kalki1950-04-16","","Magazine,Tamil Magazine","Kalki Magazine 1950-04-16","1950"
"","ಜಿ. ಟಿ. ನಾರಾಯಣರಾವ್","143","unset0000unse_k1q8","ಪ್ರಸಾದ್ ಏಜನ್ಸೀಸ್","ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ನಕ್ಷತ್ರ ವೀಕ್ಷಣೆ","1983"
"","","1","kalki1949-06-05","","Magazine,Tamil Magazine","Kalki Magazine 1949-06-05","1949"
"","Eugene I. Rabinowitch","17","unset0000unse_k1p2","Interscience Publishers","CFTRI","Photosynthesis And Related Processes","1951"
"","","1","kalki1949-03-27","","Magazine,Tamil Magazine","Kalki Magazine 1949-03-27","1949"
"","","2","kalki1949-01-30","","Magazine,Tamil Magazine","Kalki Magazine 1949-01-30","1949"
"","","1","kalki1949-04-10","","Magazine,Tamil Magazine","Kalki Magazine 1949-04-10","1949"
"","","2","kalki1950-01-22","","Magazine,Tamil Magazine","Kalki Magazine 1950-01-22","1950"
"","ಮಯ್ಯವಟಿ ವೆಂಕಟರಮಣಯ್ಯ","31","unset0000unse_k7s1","ಲಕ್ಷ್ಮೀನಾರಾಯಣ ಟ್ರಸ್ಟ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಶೂರಪದ್ಮಾಸುರಕಾಳಗ ಮತ್ತು ಶೂರಪದ್ಮವಧೆ","1983"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","20","unset0000unse_k4o8","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 21","1992"
"","ବିଶ୍ୱନାଥ କର,Biswanatha Kar,Biśwanātha Kar","1","kalpana-kunje-1968","","କବିତା,Poetry,Odia Bibhaba","କଳ୍ପନା କୁଞ୍ଜେ","1968"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","25","unset0000unse_s6t1","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 1","1987"
"","ಕೀರಿಕ್ಕಾಡು ಮಾಸ್ತರ್ ವಿಷ್ಣು ಭಟ್","47","unset0000unse_t3r5","ಶ್ರೀ ಗೋಪಾಲಕೃಷ್ಣ ಪ್ರಕಾಶನ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸೀತಾ ಪರಿತ್ಯಾಗ","1982"
"","","17","unset0000unse_s7r7","","","Ram Dadlani",""
"","Badragiri Neelaya Bangera","35","unset0000unse_s7e8","ದಿನೇಶ್ ಪ್ರಿಂಟಿಂಗ್ ಪ್ರೆಸ್, ಬ್ರಹ್ಮಾವರ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಶಿಕಂಡಿ ಸ್ವಯಂವರ","1969"
"","ಎಂ. ಜಿ. ಬರವಣಿ","20","unset0000unse_u7a6","ಎಂ. ಜಿ. ಬರವಣಿ, ಯಕ್ಷಗಾನ ಕಲಾವಿದರು, ಗೋಕರ್ಣ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ತ್ರಿಪದ ದಾನ","1996"
"","Sri Kemanu Narayanappaya","46","unset0000unse_u0d2","ಲಕ್ಷ್ಮಿ ನಾರಯಣ ಟ್ರಸ್ಟ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಗಯಾಸುರ ಚರಿತ್ರೆ","1981"
"","ಬಿ. ಎಸ್. ಕೇಶವ ರಾವ್","251","unset0000unse_u2d0","ಅಂಕಿತ ಪುಸ್ತಕ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕೈಲಾಸಂ ಸಾಹಿತ್ಯ ಸಂಚಯ","ಕೈಲಾಸಂ ಜೋಕ್ಸೂ ಸಾಂಗ್ಸೂ","2001"
"","R.Amrutavalli","8","kannyodhevachyoa0000ramr","Orient Langman Limited","","Kannyo:Dhevachyo Ani Munshachyo","1995"
"","ಡಾ. ಶ್ರೀನಿವಾಸ ಹಾವನೂರ","31","kannadadallikrai0000drsh","ಅನನ್ಯ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಹಾವನೂರು ಸಂಚಯ","ಕನ್ನಡದಲ್ಲಿ ಕ್ರೈಸ್ತ ಸಾಹಿತ್ಯ, ಹನಿಗತೆ, ಕಂಪ್ಯೂಟರ್ ಇತ್ಯಾದಿ","1982"
"","ಫ್ರಾನ್ಸಿಸ್ ಸಲ್ಡಾನ್ಹಾ, ಬಂಟ್ವಾಳ್","28","karalpinjro0000fran","","","ಕರಾಳ್ ಪಿಂಜ್ರೊ",""
"","","36","kasthurifebrury10000unse","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಫೆಬ್ರವರಿ 1962","1962"
"","ಕೆ. ಎಸ್. ಶರ್ಮ","73","kayarakinyannara0000kssh","","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕೈಯ್ಯಾರ ಕಿಞ್ಞಣ್ಣ ರೈ","1971"
"","Thomas Maurice","30","indianantiquitie0000thom","Concept Publishing Company New Delhi","","Indian Antiquities Or Dissertations Of Hindostan","1812"
"","R.K.Rao","8","keralantlikonknn0000rkra","Konkani Language Institute","","Keralantli Konknni Lokgetham","1995"
"","","27","kaanana_Oct2016","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಅಕ್ಟೋಬರ್ 2016","2016"
"","","29","kaanana_Jun2020","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಜೂನ್ 2020","2020"
"","","21","kaanana_Mar2017","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಮಾರ್ಚ್ 2017","2017"
"","","14","kaanana_May2016","ವೈಲ್ಡ್ ಲೈಫ್ ಕನ್ಸರ್ವೆಷನ್ ಗ್ರೂಪ್","ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಕಾನನ ಸಂಚಯ,Kaanana Magazine,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ,Magazine","ಕಾನನ ಮೇ 2016","2016"
"","JAN-MARCH 1989","4","konkantimes0000janm","","","KONKAN TIMES",""
"","सं: डा. एल. सुनीता बाय","13","konkanikavymanja0000drls","sukrindra oriental research institute","","कोंकणी काव्यमंजरी","2004"
"","Kerala Sasthra Sahithya Parishad","72","ksspurjapathisan0000kssp","","KSSP leaflets, Power Problem in Kerala, Kayamkulam Thermal Station KSSP Books about Energy","1992 - കേരളത്തിന്റെ ഊർജപ്രതിസന്ധിയും കായം‌കുളം താപനിലയവും","1992"
"","ರಾಘವೇಂದ್ರ ಪಾಟೀಲ","17","unset0000unse_k5w6","ಸಂವಾದ ಪ್ರಕಾಶನ","ದ್ವಿಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಂವಾದ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಂವಾದ 17",""
"","","586","unset0000unse_k9q1","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಮೇ 1957","1957"
"","Vidhavan Thalthaje Krishna Bhatta","39","unset0000unse_k8x5","ಪ್ರತಿಮಾ ಪ್ರಕಾಶನ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಮಯೂರವರ್ಮ ವಿಲಾಸ","1997"
"","F. M. Burnet","20","unset0000unse_k8i6","Academic Press New York","CFTRI","The Viruses Volume 2","1959"
"","ಪಾವಂಜೆ ಗುರುರಾವ್","70","unset0000unse_l4o5","ಪಾವಂಜೆ ಗುರುರಾವ್ & ಸನ್ಸ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಅಂಬರೀಷ ಚರಿತ್ರೆಯು",""
"","ಬಿ. ಎಂ. ಶ್ರೀಕಂಠಯ್ಯ","247","unset0000unse_m0w9","ಕನ್ನಡ ಅಧ್ಯಯನ ಕೇಂದ್ರ, ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾನಿಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಶ್ರೀ ಸಾಹಿತ್ಯ","1983"
"","","14","unset0000unse_m3i8","","","Hataan Hataan Chondh Gal Fal",""
"","","38","unset0000unse_m3o1","ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಂಘ, ‍ಸಿದ್ಧಗಂಗಾಕ್ಷೇತ್ರ, ತುಮಕೂರು","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಸಿದ್ಧಗಂಗಾ ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ","ಸಿದ್ಧಗಂಗಾ ತೈಮಾಸಿಕ ೧೯೯೧","1991"
"","ಅಮೃತ್ ಸೋಮೇಶ್ವರ","116","unset0000unse_m4v2","ಪ್ರಾಕ್ರಿತಿ ಪ್ರಕಾಶನ","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಅಂಧಕ ಮೋಕ್ಷ","1990"
"","","32","unset0000unse_m7l2","Council Of Scientific & Industrial Research New Delhi","CFTRI","Investingations On The Composition And Nutritive Value Of Vanaspati","1958"
"","ಬಿ. ರಂಗನಾಥರಾವ್","49","unset0000unse_m8e6","ಸುಭೋಧ ಪ್ರಕಟಣಾಲಯ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ವಾರಪತ್ರಿಕೆ,ನಗುವ-ನಂದ ಸಂಚಯ,Naguva-Nanda","ನಗುವ-ನಂದ ಫೆಬ್ರವರಿ 1956","1956"
"","","241","unset0000unse_n3n6","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಸೆಪ್ಟೆಂಬರ್ 1959","1959"
"","","70","unset0000unse_n3n3","","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸೀತಾ ಸ್ವಯಂವರ",""
"","ಬಾಲಕೃಷ್ಣ ಕಿ. ನ","37","unset0000unse_n3k0","","‍ಕನ್ನಡ ಸಾಹಿತ್ಯ,ವಿಜ್ಞಾನ ಸಾಹಿತ್ಯ","ಕವಿತಾ ೩","1968"
"","","16","unset0000unse_o1g5","","BIFFES,Movies,International Film Festivals","Bengaluru International Film Festival 6th Biffes","2013"
"","ಡಾ. ಆರ್. ವಿ. ಭಂಡಾರಿ","106","unset0000unse_o0j8","ಶ್ರೀ ರಾಘವೇಂದ್ರ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಡಾ. ಆರ್. ವಿ. ಭಂಡಾರಿ ಸಂಚಯ","ಕನ್ನಡ ಕಾದಂಬರಿಗಳಲ್ಲಿ ವರ್ಣ ಮತ್ತು ವರ್ಗ ಸಂಘರ್ಷ","2003"
"","","29","unset0000unse_o4g5","","BIFFES,Movies,International Film Festivals","Bengaluru International Film Festival 8th Biffes","2016"
"","ಕೀರಿಕ್ಕಾಡು ಮಾಸ್ತರ್ ವಿಷ್ಣು ಭಟ್","28","unset0000unse_o9h5","ಕಿರಣ್ ಪ್ರಿಂಟರ್ಸ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಕನಕ ಲೇಖ","1981"
"","D. B. Jelliffe","25","unset0000unse_o5q0","World Health Organization","CFTRI","Infant Nutrition In The Subtropics And Tropics","1955"
"","ಕೆ. ಲಕ್ಷ್ಮೀನಾರಾಯಣ ಭಟ್ಟ","84","unset0000unse_o5l3","ಪಾವಂಜೆ ಗುರುರಾವ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ರೇವತಿ ಕಲ್ಯಾಣವು","1930"
"","","71","unset0000unse_p1m7","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಡಿಸೆಂಬರ್ 1972","1972"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","16","unset0000unse_o9u9","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 90","2009"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","18","unset0000unse_p1d4","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 4","1987"
"","ಪಾ. ವೆಂ. ಆಚಾರ್ಯ","140","unset0000unse_p8e7","ಪ್ರಿಸಂ ಬುಕ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್","‍ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಪಾ. ವೆಂ. ಸಾಹಿತ್ಯ ಸಂಚಯ","ಪಾ. ವೆಂ. ಆಚಾರ್ಯ ಆಯ್ದ ನಗೆ ಬರಹಗಳು","2000"
"","ಬಿ. ಆರ್. ವೆಂಕಟರಮಣ ಐತಾಳ್","27","unset0000unse_p9v5","ನೀನಾಸಂ ಹೆಗ್ಗೋಡು (ಸಾಗರ)","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ನೀನಾಸಂ ಮಾತುಕತೆ,Ninasam Mathukathe,ಸಂಪರ್ಕ ಪತ್ರ,ರಂಗಭೂಮಿ","ನೀನಾಸಂ ಮಾತುಕತೆ 129","2019"
"","Sohrab R. Gandhi M. Ag.","45","unset0000unse_q6e9","Ministry Of Food And Agriculture New Delhi","CFTRI","The Mango In India","1955"
"","G.W.Leeper, M.Sc.","47","unset0000unse_q7w6","Melbourne University Press","CFTRI","Introduction To Soil Science","1948"
"","","32","unset0000unse_r2c8","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ನವೆಂಬರ್ 1975","1975"
"","","158","unset0000unse_r2l5","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಮೇ 1985","1985"
"","L. I. Antropov","24","unset0000unse_r3t4","Council Of Scientific & Industrial Research","CFTRI","Kinetics Of Electrode Processes And Null Points Of Metals","1960"
"","","105","unset0000unse_r6w1","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಡಿಸೆಂಬರ್ 1970","1970"
"","","55","unset0000unse_r8s1","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಡಿಸೆಂಬರ್ 1977","1977"
"","","27","unset0000unse_r5s7","","","Nari Ratan",""
"","ಡಿ. ವಿ. ಪ್ರಹ್ಲಾದ್","45","unset0000unse_r4z4","ಡಿ. ವಿ. ಪ್ರಹ್ಲಾದ್","ದ್ವಿಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಂಚಯ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಂಚಯ 107","2015"
"","ರಾಘವೇಂದ್ರ ಪಾಟೀಲ","19","unset0000unse_s0x3","ಸಂವಾದ ಪ್ರಕಾಶನ","ದ್ವಿಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಂವಾದ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಂವಾದ 40","1995"
"","ಕೆ. ಎಲ್. ಗೋಪಾಲಕೃಷ್ಣರಾವ್","297","unset0000unse_s7h4","ರಾದುಗ ಪ್ರಕಾಶನ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಅನುವಾದ","ಮಕ್ಸೀಂ ಗೋರ್ಕಿ - ಜನರ ಮಧ್ಯೆ","1987"
"","","101","unset0000unse_s5t5","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಅಕ್ಟೋಬರ್ 1965","1965"
"","","27","unset0000unse_t3s6","ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಂಘ, ‍ಸಿದ್ಧಗಂಗಾಕ್ಷೇತ್ರ, ತುಮಕೂರು","ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಸಿದ್ಧಗಂಗಾ ತ್ರೈಮಾಸಿಕ ಪತ್ರಿಕೆ","ಸಿದ್ಧಗಂಗಾ ತೈಮಾಸಿಕ ೧೯೯೦","1992"
"","ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ","197","unset0000unse_s6o3","ಶ್ರೀಕಂಠೇಶ್ವರ ಪ್ರೆಸ್ ಮತ್ತು ಬುಕ್ ಡಿಪೋ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಚನ್ನಪ್ಪ ಎರೇಸೀಮೆ ಸಂಚಯ,ವಚನ ಸಾಹಿತ್ಯ","ಬಸವಣ್ಣ ಭೋದಿಸಿದ ಸಿದ್ಧಾಂತ ಮತ್ತು ತತ್ವಗಳು","1967"
"","","120","unset0000unse_s6y6","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಜುಲೈ 1992","1992"
"","","88","unset0000unse_t6y2","ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ - ಹುಬ್ಬಳ್ಳಿ","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಮಾಸಿಕ ಪತ್ರಿಕೆ,ಕಸ್ತೂರಿ ಸಂಚಯ,Kasturi Magazine","ಕಸ್ತೂರಿ ಅಕ್ಟೋಬರ್ 1986","1986"
"","ಪಾ. ವೆಂ. ಆಚಾರ್ಯ","172","unset0000unse_t5r2","‍ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್ ಗ್ರಂಥಮಾಲೆ‍","ಕನ್ನಡ ಸಾಹಿತ್ಯ,ಪಾ. ವೆಂ. ಸಾಹಿತ್ಯ ಸಂಚಯ","ಬೆಂಬಿಡದ ಭೂತಗಳು","2017"
"","ರಾಘವೇಂದ್ರ ಪಾಟೀಲ","23","unset0000unse_t4i0","ಸಂವಾದ ಪ್ರಕಾಶನ","ದ್ವಿಮಾಸಿಕ ಪತ್ರಿಕೆ,ಸಂವಾದ ಸಂಚಯ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ಸಂವಾದ 47","1998"
"","","44","unset0000unse_t9c4","ಪಾವಂಜೆ ಗುರುರಾವ್","Yakshagana,Yakshagana Prasanga,ಯಕ್ಷಗಾನ,ಯಕ್ಷಗಾನ ಪ್ರಸಂಗ,ಕನ್ನಡ ಸಾಹಿತ್ಯ","ದ್ರೌಪತಿ ಪ್ರತಾಪ","1948"
